,Author,Correct,Incorrect,Count,Correct%
44,Chris Flood,10.0,2.0,12.0,0.8333333333333334
23,Matthew Rocco,16.0,6.0,22.0,0.7272727272727273
57,Christopher Adams,8.0,3.0,11.0,0.7272727272727273
32,Joe Miller,14.0,6.0,20.0,0.7
52,Jessica Dye,9.0,4.0,13.0,0.6923076923076923
20,Donato Paolo Mancini,19.0,9.0,28.0,0.6785714285714286
30,Peter Campbell,14.0,7.0,21.0,0.6666666666666666
53,Nicholas Megaw,9.0,5.0,14.0,0.6428571428571429
49,Jamie Powell,9.0,5.0,14.0,0.6428571428571429
31,Imani Moise,14.0,8.0,22.0,0.6363636363636364
64,Leslie Hook,7.0,4.0,11.0,0.6363636363636364
35,Richard Henderson,12.0,8.0,20.0,0.6
68,Henry Sanderson,6.0,4.0,10.0,0.6
33,Chris Nuttall,14.0,10.0,24.0,0.5833333333333334
41,Scheherazade Daneshkhu,11.0,8.0,19.0,0.5789473684210527
0,Richard Waters,114.0,90.0,204.0,0.5588235294117647
46,Christopher Grimes,10.0,8.0,18.0,0.5555555555555556
4,Tim Bradshaw,53.0,43.0,96.0,0.5520833333333334
18,Jamie Smyth,23.0,19.0,42.0,0.5476190476190477
10,Mamta Badkar,40.0,34.0,74.0,0.5405405405405406
58,Anna Gross,7.0,6.0,13.0,0.5384615384615384
2,Eric Platt,64.0,55.0,119.0,0.5378151260504201
15,Robert Armstrong,31.0,27.0,58.0,0.5344827586206896
21,Joe Rennison,18.0,16.0,34.0,0.5294117647058824
54,Tom Braithwaite,9.0,8.0,17.0,0.5294117647058824
45,Kate Beioley,10.0,9.0,19.0,0.5263157894736842
22,Joshua Franklin,17.0,16.0,33.0,0.5151515151515151
3,Anna Nicolaou,58.0,56.0,114.0,0.5087719298245614
50,Kana Inagaki,9.0,9.0,18.0,0.5
83,Gina Chon,5.0,5.0,10.0,0.5
80,Cristina Criddle,5.0,5.0,10.0,0.5
75,Robert Wright,5.0,5.0,10.0,0.5
12,Lindsay Whipp,34.0,34.0,68.0,0.5
73,Demetri Sevastopulo,5.0,5.0,10.0,0.5
65,Leo Lewis,7.0,7.0,14.0,0.5
28,Pan Kwan Yuk,14.0,15.0,29.0,0.4827586206896552
40,Sarah Neville,11.0,12.0,23.0,0.4782608695652174
51,Patrick Temple-West,9.0,10.0,19.0,0.47368421052631576
63,Clive Cookson,7.0,8.0,15.0,0.4666666666666667
66,David Sheppard,7.0,8.0,15.0,0.4666666666666667
7,Patrick McGee,44.0,52.0,96.0,0.4583333333333333
39,Madhumita Murgia,11.0,13.0,24.0,0.4583333333333333
6,Hannah Kuchler,48.0,57.0,105.0,0.45714285714285713
82,Edward White,5.0,6.0,11.0,0.45454545454545453
17,Matthew Garrahan,25.0,31.0,56.0,0.44642857142857145
42,Peter Wells,11.0,14.0,25.0,0.44
60,Myles McCormick,7.0,9.0,16.0,0.4375
47,Derek Brower,10.0,13.0,23.0,0.43478260869565216
43,Nic Fildes,10.0,13.0,23.0,0.43478260869565216
1,Alistair Gray,68.0,89.0,157.0,0.43312101910828027
